timestamp,response_time,http_code,result,payload_type,is_allowed,blocking_findings,non_blocking_findings,user_id
1741554232024,104.57897186279297,200,ALLOWED,clean,True,0,0,43
1741554230186,1952.0471096038818,200,BLOCKED,real,False,1,1,99
1741554232019,124.79710578918457,200,ALLOWED,dummy,True,0,2,94
1741554232002,148.97823333740234,200,ALLOWED,dummy,True,0,2,41
1741554232032,121.79875373840332,200,ALLOWED,clean,True,0,0,91
1741554232065,92.02384948730469,200,ALLOWED,clean,True,0,0,28
1741554232077,87.5246524810791,200,ALLOWED,dummy,True,0,2,62
1741554231216,960.1991176605225,200,BLOCKED,real,False,1,1,63
1741554230426,1784.5780849456787,200,BLOCKED,real,False,1,1,39
1741554231088,1159.0540409088135,200,BLOCKED,real,False,1,1,40
1741554232179,98.12188148498535,200,ALLOWED,dummy,True,0,2,43
1741554232125,153.12504768371582,200,ALLOWED,dummy,True,0,2,9
1741554232140,141.646146774292,200,ALLOWED,clean,True,0,0,47
1741554228583,3704.101085662842,200,BLOCKED,real,False,1,1,36
1741554232152,146.7738151550293,200,ALLOWED,clean,True,0,0,83
1741554232205,108.92391204833984,200,ALLOWED,clean,True,0,0,91
1741554229484,2834.260940551758,200,BLOCKED,real,False,1,1,65
1741554232201,134.73010063171387,200,ALLOWED,dummy,True,0,2,41
1741554228476,3875.9000301361084,200,BLOCKED,real,False,1,1,71
1741554230482,1898.2410430908203,200,BLOCKED,real,False,1,1,5
1741554232329,75.49691200256348,200,ALLOWED,dummy,True,0,2,9
1741554229695,2733.565092086792,200,BLOCKED,real,False,1,1,20
1741554232349,88.49406242370605,200,ALLOWED,clean,True,0,0,83
1741554232369,74.08595085144043,200,ALLOWED,clean,True,0,0,65
1741554231173,1280.8797359466553,200,BLOCKED,real,False,1,1,48
1741554230307,2160.759210586548,200,BLOCKED,real,False,1,1,95
1741554232386,91.96901321411133,200,ALLOWED,dummy,True,0,2,41
1741554232402,82.9019546508789,200,ALLOWED,clean,True,0,0,71
1741554230387,2099.605083465576,200,BLOCKED,real,False,1,1,49
1741554232431,92.85497665405273,200,ALLOWED,clean,True,0,0,5
1741554227451,5079.180955886841,200,BLOCKED,real,False,1,1,35
1741554232479,66.4830207824707,200,ALLOWED,dummy,True,0,2,20
1741554231145,1437.9119873046875,200,BLOCKED,real,False,1,1,10
1741554232535,79.30207252502441,200,ALLOWED,dummy,True,0,2,71
1741554227967,4650.346994400024,200,BLOCKED,real,False,1,1,76
1741554232518,108.60300064086914,200,ALLOWED,dummy,True,0,2,95
